weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_BODY_att,B_avg_BODY_landed,B_avg_CLINCH_att,B_avg_CLINCH_landed,B_avg_DISTANCE_att,B_avg_DISTANCE_landed,B_avg_GROUND_att,B_avg_GROUND_landed,B_avg_HEAD_att,B_avg_HEAD_landed,B_avg_KD,B_avg_LEG_att,B_avg_LEG_landed,B_avg_PASS,B_avg_REV,B_avg_SIG_STR_att,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_att,B_avg_TD_landed,B_avg_TD_pct,B_avg_TOTAL_STR_att,B_avg_TOTAL_STR_landed,B_longest_win_streak,B_losses,B_avg_opp_BODY_att,B_avg_opp_BODY_landed,B_avg_opp_CLINCH_att,B_avg_opp_CLINCH_landed,B_avg_opp_DISTANCE_att,B_avg_opp_DISTANCE_landed,B_avg_opp_GROUND_att,B_avg_opp_GROUND_landed,B_avg_opp_HEAD_att,B_avg_opp_HEAD_landed,B_avg_opp_KD,B_avg_opp_LEG_att,B_avg_opp_LEG_landed,B_avg_opp_PASS,B_avg_opp_REV,B_avg_opp_SIG_STR_att,B_avg_opp_SIG_STR_landed,B_avg_opp_SIG_STR_pct,B_avg_opp_SUB_ATT,B_avg_opp_TD_att,B_avg_opp_TD_landed,B_avg_opp_TD_pct,B_avg_opp_TOTAL_STR_att,B_avg_opp_TOTAL_STR_landed,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_BODY_att,R_avg_BODY_landed,R_avg_CLINCH_att,R_avg_CLINCH_landed,R_avg_DISTANCE_att,R_avg_DISTANCE_landed,R_avg_GROUND_att,R_avg_GROUND_landed,R_avg_HEAD_att,R_avg_HEAD_landed,R_avg_KD,R_avg_LEG_att,R_avg_LEG_landed,R_avg_PASS,R_avg_REV,R_avg_SIG_STR_att,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_att,R_avg_TD_landed,R_avg_TD_pct,R_avg_TOTAL_STR_att,R_avg_TOTAL_STR_landed,R_longest_win_streak,R_losses,R_avg_opp_BODY_att,R_avg_opp_BODY_landed,R_avg_opp_CLINCH_att,R_avg_opp_CLINCH_landed,R_avg_opp_DISTANCE_att,R_avg_opp_DISTANCE_landed,R_avg_opp_GROUND_att,R_avg_opp_GROUND_landed,R_avg_opp_HEAD_att,R_avg_opp_HEAD_landed,R_avg_opp_KD,R_avg_opp_LEG_att,R_avg_opp_LEG_landed,R_avg_opp_PASS,R_avg_opp_REV,R_avg_opp_SIG_STR_att,R_avg_opp_SIG_STR_landed,R_avg_opp_SIG_STR_pct,R_avg_opp_SUB_ATT,R_avg_opp_TD_att,R_avg_opp_TD_landed,R_avg_opp_TD_pct,R_avg_opp_TOTAL_STR_att,R_avg_opp_TOTAL_STR_landed,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
4,5,0,7,0,16,11.4,10,8,101.6,51.6,2,1.6,77.4,32.6,0.8,20.2,17.2,0.4,0,113.6,61.2,0.55,0.2,0.6,0,0,121.6,68.8,5,0,8,4.6,7.2,4.8,84.4,23.2,0.4,0.4,73.4,15.6,0,10.6,8.2,0.6,0,92,28.4,0.324,0,8,1.2,0.122,101.4,36.4,14,821.6,2,0,1,2,3,0,0,7,3,193.04,203.2,185,0,4,0,13.5,9.9,10,7.2,68.2,29.6,10.9,7.8,72.5,31.8,0.3,3.1,2.9,1.2,0,89.1,44.6,0.519,0.3,2.4,1.3,0.546,111.1,63.9,4,4,9.5,5.7,8.1,5.8,54,17.3,17.7,13.8,64.4,26.9,0,5.9,4.3,1.2,0.1,79.8,36.9,0.41,0.1,2.7,1.2,0.31,114.9,67.8,26,736.1,0,0,0,3,1,2,0,6,1,187.96,198.12,205,35,35
11,5,0,9,0,9.7,6.2,3.2,2.1,58,28.4,17.5,9.9,52.9,24.1,0.2,16.1,10.1,1.4,0,78.7,40.4,0.566,0.4,2.6,1.1,0.282,90.9,50.3,7,1,5,3.3,3.6,2.4,46,15.3,6.1,4.4,44.4,14.3,0,6.3,4.5,0.8,0.1,55.7,22.1,0.328,0.3,2.2,0.5,0.212,68.1,33.4,22,533.4,4,0,1,1,5,2,0,9,2,172.72,175.26,145,0,2,0,16,11,10,7,48,19,0,0,42,15,0,0,0,0,1,58,26,0.44,0,0,0,0,81,48,0,1,14,12,10,8,35,19,26,20,47,27,0,10,8,9,0,71,47,0.66,1,8,4,0.5,176,143,3,900,0,0,0,0,0,0,0,0,1,182.88,182.88,145,32,30
9,5,0,7,0,17,14,13.75,11,109.5,48.75,13,10.5,116.25,53.75,0.5,3,2.5,0.5,0.25,136.25,70.25,0.55,0.25,2.5,1.25,0.2875,154.75,86.75,4,0,12.25,6,6,3.75,94.25,26.75,1.75,1.25,82.5,21.5,0.25,7.25,4.25,0,0,102,31.75,0.3375,0,4.5,0.75,0.0975,104.75,34.25,9,652,0,0,0,2,4,0,0,6,3,170.18,170.18,135,0,5,0,22.81818182,16.36363636,12.63636364,10,65.90909091,25.09090909,17.45454545,12.72727273,60,22.18181818,0,13.18181818,9.272727273,1.636363636,0.090909091,96,47.81818182,0.482727273,0.818181818,5.181818182,1.909090909,0.455454545,132.1818182,81.81818182,4,3,8.272727273,4.454545455,5.636363636,3.727272727,48.63636364,12.54545455,2,1.272727273,42,9,0.272727273,6,4.090909091,0.818181818,0.090909091,56.27272727,17.54545455,0.308181818,0.090909091,2.454545455,1.181818182,0.274545455,79.09090909,38,29,737.0909091,0,0,0,4,1,4,0,8,1,170.18,180.34,135,27,30
0,3,2,0,0,9.8125,6.9375,7.375,6.3125,35.8125,14,19.4375,11.25,45.5,18.6875,0.5625,7.3125,5.9375,0.75,0.125,62.625,31.5625,0.45875,0.0625,1,0.375,0.15125,69.4375,38,4,5,4.5625,2.375,2.4375,1.5625,29.3125,8.875,3.1875,2.75,26.9375,8.4375,0.1875,3.4375,2.375,0.6875,0,34.9375,13.1875,0.354375,0.3125,2.6875,0.9375,0.241875,41.5,18.9375,27,386.9375,1,0,0,2,9,0,0,11,1,187.96,193.04,205,0,1,0,10.5,7.5,5,2,93,34,49,39,118,55,0.5,18.5,12.5,2,0,147,75,0.51,0,2,1.5,0.375,248,169,2,0,2,0,0,0,39.5,17,1,1,31.5,13,0,7,5,0.5,0,40.5,18,0.445,0,7.5,1,0.07,55.5,32,6,900,0,0,0,2,0,0,0,2,1,193.04,198.12,205,36,28
